model,EM,TokP,TokR,TokF1,Contain,CharSim,CosSim,KL,Perp,BERTScore_P,BERTScore_R,BERTScore_F1
SmolVLM-Instruct-finetuned,0.4888,0.5315,0.5262,0.5275,0.4933,0.6444,0.6298,0.8979,2.4546,0.5886,0.4858,0.5337
Qwen3-VL-8B-Instruct-finetuned,0.7571,0.8110,0.8048,0.8064,0.7616,0.8601,0.8541,0.1733,1.1892,0.8088,0.7973,0.8025
Qwen3-VL-4B-Instruct-finetuned,0.7721,0.8206,0.8209,0.8192,0.7811,0.8626,0.8624,0.1892,1.2083,0.8143,0.8062,0.8098
blip2-opt-2.7b-finetuned,0.0495,0.2299,0.3904,0.2739,0.7466,0.5024,0.6202,2.6593,14.2866,0.2315,0.5522,0.3838
