model,EM,F1,BA,MRR,BS,KL,Perp
SmolVLM-Instruct,0.2669,0.2669,0.6306,0.5354,0.9517,5.1880,179.1045
Qwen3-VL-4B-Instruct,0.7586,0.7586,0.8784,0.8518,0.4201,1.4951,4.4598
Qwen3-VL-8B-Instruct,0.8351,0.8351,0.9169,0.9003,0.2742,0.8938,2.4444
BLIP2-OPT-2.7B,0.2729,0.2729,0.6336,0.5372,0.8752,2.6256,13.8131
Llama-3.2-11B-Vision,0.2714,0.2714,0.6329,0.5406,0.8236,1.8469,6.3400
SmolVLM-Instruct_notext,0.2684,0.2684,0.6314,0.5356,0.9509,5.2038,181.9542
Qwen3-VL-8B-Instruct_notext,0.5127,0.5127,0.7545,0.6933,0.7798,2.0989,8.1572
