model,EM,TokP,TokR,TokF1,Contain,CharSim,CosSim,KL,Perp,BERTScore_P,BERTScore_R,BERTScore_F1,Reliability,Miscalibration
Qwen2.5-7B-Instruct-finetuned,0.7361,0.7996,0.8038,0.7996,0.7616,0.8573,0.8467,0.7029,2.0197,0.3106,0.6503,0.4715,0.0000,0.1212
gemma-3-4b-it-finetuned,0.0000,0.3201,0.6753,0.4148,0.7421,0.5401,0.6785,0.3600,1.4333,0.2263,0.4544,0.3369,0.0000,0.1238
medgemma-4b-it-finetuned,0.0000,0.3801,0.7659,0.4887,0.7316,0.5537,0.7021,0.3633,1.4381,0.2475,0.4569,0.3492,0.0000,0.1118
meditron-7b-finetuned,0.0000,0.2359,0.5848,0.3104,0.6342,0.4949,0.5661,0.4620,1.5873,0.1580,0.3609,0.2562,0.0000,0.1728
qwen2.5-7b-medical-finetuned,0.6462,0.7895,0.7791,0.7695,0.7136,0.8242,0.8236,0.4313,1.5393,0.2858,0.6177,0.4433,0.0000,0.0887
