model,EM,F1,BA,MRR,BS,KL,Perp
medical-coding-llm,0.6992,0.6992,0.8484,0.8152,0.7019,2.1217,8.3454
Phi-3-mini-4k-instruct,0.7526,0.7526,0.8754,0.8482,0.6522,1.8809,6.5594
meditron-7b,0.2729,0.2729,0.6336,0.5345,0.9582,4.0685,58.4670
Meta-Llama-3.1-8B-Instruct-bnb-4bit,0.3043,0.3043,0.6495,0.5707,0.8493,2.5909,13.3419
Qwen2.5-7b-medical,0.7751,0.7751,0.8867,0.8662,0.3014,0.6576,1.9301
Qwen2.5-7B-Instruct,0.7886,0.7886,0.8935,0.8741,0.3290,0.9390,2.5573
medgemma-4b-it,0.5787,0.5787,0.7877,0.7433,0.7064,2.3638,10.6312
gemma-3-4b-it,0.5457,0.5457,0.7711,0.7289,0.8767,3.7533,42.6623
