model,EM,TokP,TokR,TokF1,Contain,CharSim,CosSim,KL,Perp,BERTScore_P,BERTScore_R,BERTScore_F1,Reliability,Miscalibration,KL_Divergence
Qwen2.5-7B-Instruct,0.2639,0.3125,0.4278,0.3366,0.4138,0.4830,0.4505,0.0000,97.6557,-0.0272,0.1612,0.0591,0.0000,0.4963,
medgemma-4b-it,0.4063,0.4357,0.4471,0.4381,0.4318,0.5683,0.5517,0.0000,36.5194,0.0337,0.2874,0.1523,0.0000,0.3633,
meditron-7b,0.0000,0.1364,0.4033,0.2036,0.4018,0.3853,0.3327,0.0000,137.0801,0.3790,0.1462,0.2543,0.0000,0.4443,
medical-coding-llm,0.0000,0.2310,0.4491,0.3018,0.4243,0.4869,0.4640,0.0000,35.1929,0.2321,0.2282,0.2265,0.0000,0.3479,
Meta-Llama-3.1-8B-Instruct-bnb-4bit,0.0000,0.0149,0.0254,0.0178,0.3523,0.4236,0.4461,0.0000,6088.8052,0.1539,0.2254,0.1854,0.0000,0.6553,
Phi-3-mini-4k-instruct,0.0000,0.0975,0.2659,0.1371,0.2489,0.3244,0.2809,0.0000,149.5007,0.1328,0.0683,0.0969,0.0000,0.4225,
gemma-3-4b-it,0.3853,0.4285,0.4223,0.4220,0.3973,0.5799,0.5735,0.0000,1.7403,0.4662,0.3995,0.4297,0.0000,0.0645,
qwen2.5-7b-medical,0.3988,0.4167,0.4180,0.4142,0.4078,0.5443,0.5044,0.0000,66.4796,-0.0567,0.1385,0.0332,0.0000,0.4083,
