model,EM,TokP,TokR,TokF1,Contain,CharSim,CosSim,KL,Perp,BERTScore_P,BERTScore_R,BERTScore_F1,Reliability,Miscalibration,KL_Divergence
SmolVLM-Instruct,0.0000,0.0030,0.0055,0.0036,0.0045,0.2312,0.1541,0.0000,40.5708,0.1132,0.0352,0.0702,0.0000,0.5112,
Qwen3-VL-4B-Instruct,0.3883,0.4228,0.4296,0.4235,0.4033,0.5773,0.5662,0.0000,1.9444,0.4611,0.3997,0.4275,0.0000,0.1342,
Qwen3-VL-8B-Instruct,0.0450,0.1989,0.4420,0.2589,0.4153,0.4176,0.3860,0.0000,1.9037,0.1891,0.3192,0.2501,0.0000,0.1096,
Llama-3.2-11B-Vision-Instruct,0.0000,0.0191,0.0194,0.0189,0.3988,0.5311,0.5265,0.0000,10.3582,0.5519,0.3112,0.4245,0.0000,0.3661,
blip2-opt-2.7b,0.0000,0.0030,0.0059,0.0038,0.0195,0.1812,0.1664,0.0000,62.6166,-1.2363,-1.1379,-1.1880,0.0000,0.4211,
